City,Latitude,Longitude,Temperature,Feels Like,Humidity,Pressure,Wind Speed,Cloudiness
Kousséri,12.08,15.03,73.4,71.96,46,1013,3.36,26
Sri Aman,1.24,111.46,73.2,80.64,100,1009,3.36,98
Huarmey,-10.07,-78.15,66.78,64.17,70,1015,8.34,3
Forlì,44.22,12.05,50.9,48.99,87,1024,2.24,0
Verkhnyaya Inta,65.98,60.31,27.39,19.69,99,984,6.17,100
Faya,18.39,42.45,62.6,59.07,55,1028,4.7,0
Havøysund,71.0,24.66,34.72,24.33,80,1002,11.41,75
Bonavista,48.65,-53.11,34.68,27.21,59,1026,4.7,98
Vao,-22.67,167.48,71.22,65.43,79,1017,19.19,44
Kamárai,38.3,22.0,50.85,42.62,55,1021,9.17,0
Diffa,13.32,12.61,75.51,68.5,26,1014,7.9,31
Iquique,-20.22,-70.14,68.0,60.67,60,1014,14.99,0
East Stroudsburg,41.0,-75.18,67.98,62.29,30,1029,4.7,1
Nueve de Julio,-35.44,-60.88,75.99,75.22,51,1020,5.01,62
Fort-Shevchenko,44.51,50.26,53.11,41.68,65,1026,16.93,0
Magistral'nyy,56.17,107.45,32.92,26.04,95,1018,5.77,99
Montrose,38.42,-108.27,44.02,29.5,29,1004,15.99,65
Nioro,13.35,-15.75,81.36,79.34,45,1013,8.08,0
Narsaq,60.92,-46.05,32.0,27.61,95,977,1.12,100
Dingle,11.0,122.67,74.5,81.59,90,1008,2.21,35
Sendhwa,21.68,75.1,66.13,62.42,40,1016,3.02,0
Fukuechō,32.69,128.84,56.95,44.85,60,1023,18.7,0
Rondonópolis,-16.47,-54.64,87.96,90.55,45,1010,3.96,72
Marsá Maţrūḩ,31.35,27.25,69.31,69.78,74,1014,5.41,100
Marsh Harbour,26.54,-77.06,77.05,65.46,89,1009,37.49,100
Comodoro Rivadavia,-45.87,-67.5,73.4,63.55,31,1015,13.87,0
Katsuura,35.13,140.3,55.09,40.57,50,1012,20.8,75
Beshpagir,45.02,42.38,57.51,51.76,81,1025,11.18,0
Marang,5.21,103.21,77.0,85.55,94,1009,3.36,40
São Filipe,14.9,-24.5,80.06,82.31,74,1017,10.47,10
Flinders,-34.58,150.86,63.0,63.75,78,1023,1.99,67
Tasiilaq,65.61,-37.64,30.13,9.48,98,992,29.71,100
Kruisfontein,-34.0,24.73,57.0,57.61,95,1021,1.99,100
São Sepé,-30.16,-53.57,80.6,76.98,54,1014,13.87,0
Mount Darwin,-16.77,31.58,80.15,75.29,22,1011,3.96,98
Alice Springs,-23.7,133.88,68.0,62.24,24,1015,3.36,20
Atambua,-9.11,124.89,75.7,80.76,78,1010,3.11,100
Vila Velha,-20.33,-40.29,78.37,77.13,83,1014,18.34,0
Agüimes,27.91,-15.45,69.44,67.69,73,1023,9.17,40
Talnakh,69.49,88.4,24.8,7.48,92,980,22.37,40
Sitka,57.05,-135.33,42.8,28.04,75,1017,20.8,90
Hervey Bay,-25.3,152.85,71.01,68.72,65,1020,8.99,19
Sorong,-0.88,131.25,79.07,86.05,84,1010,4.76,93
Stonewall,50.13,-97.33,64.85,55.9,59,998,16.11,75
Qaqortoq,60.72,-46.03,32.0,27.61,95,977,1.12,100
Laguna,38.42,-121.42,57.56,43.84,20,1007,14.99,1
Requena,39.49,-1.1,48.0,46.49,91,1022,0.81,99
High Level,58.52,-117.14,19.4,9.99,79,1021,6.93,5
North Bend,43.41,-124.22,47.73,34.47,45,1017,16.11,1
Chu,43.6,73.76,41.83,29.28,83,1027,17.36,96
Ishikari,43.24,141.35,39.42,25.14,80,1003,19.46,75
Russell,32.35,-85.2,75.31,75.81,69,1020,8.05,90
Nelson Bay,-32.72,152.15,62.44,61.38,77,1027,4.7,40
Soyo,-6.13,12.37,78.33,82.78,86,1013,9.26,86
Batemans Bay,-35.72,150.18,57.67,57.22,76,952,1.01,16
Ulladulla,-35.35,150.47,57.63,56.43,82,1028,3.36,75
Irbeyskoye,55.64,95.45,34.54,27.82,87,1010,5.32,39
Ilulissat,69.22,-51.1,14.0,-4.59,56,1003,21.92,100
Mizhhirya,48.52,23.51,43.54,40.21,81,1027,1.34,0
Lubao,14.92,120.55,77.9,87.6,94,1008,2.24,75
Cayenne,4.93,-52.33,82.4,86.23,78,1011,11.41,40
Vila do Maio,15.13,-23.22,80.6,76.57,61,1016,17.22,0
Nieuw Nickerie,5.95,-56.98,80.78,81.59,83,1009,17.07,64
Anaconda,46.13,-112.94,10.27,-3.86,61,1008,13.87,90
Chara,56.91,118.26,-5.24,-12.19,80,1026,0.56,69
Otane,-39.88,176.63,48.99,41.54,94,1014,12.15,100
Cabadiangan,9.75,122.47,75.52,81.88,85,1008,2.91,59
Ürümqi,43.8,87.6,33.8,26.22,55,1019,4.47,0
Broken Hill,-31.95,141.43,71.6,59.4,30,1019,17.22,50
Tondano,1.3,124.91,77.0,84.74,83,1009,1.12,20
Morristown,36.21,-83.29,76.32,72.57,47,1025,9.17,1
Antofagasta,-23.65,-70.4,64.4,56.93,72,1014,16.11,40
Sikasso,10.92,-7.0,76.57,71.94,23,1014,3.0,34
Ozinki,51.18,49.68,45.97,33.04,88,1010,19.93,87
Ilām,26.92,87.92,54.95,48.74,49,1018,5.84,0
Zaigrayevo,51.83,108.27,17.6,10.98,92,1021,2.24,0
Río Tercero,-32.17,-64.11,66.0,64.26,77,1013,8.01,100
Boffa,10.17,-14.03,78.08,86.02,90,1014,4.18,25
Marechal Cândido Rondon,-24.56,-54.06,83.34,83.64,37,1009,1.83,96
Berbera,10.44,45.01,78.46,85.77,75,1015,0.45,2
Taitung City,22.76,121.14,70.41,65.08,83,1017,18.84,100
Dolinsk,47.35,142.8,26.6,18.12,86,1006,6.71,40
Lompoc,34.64,-120.46,55.76,42.42,62,1011,20.8,75
Saint-Michel-des-Saints,46.68,-73.92,50.49,47.21,89,1025,4.76,8
Yavaros,26.7,-109.52,85.01,89.53,62,1009,5.99,16
Sulangan,11.14,123.72,81.48,90.54,77,1008,0.83,44
Omsukchan,62.53,155.8,-6.36,-15.61,87,1017,4.65,99
Port Hedland,-20.32,118.57,68.0,68.88,82,1010,5.82,0
Outlook,51.5,-107.05,18.32,1.15,85,1011,20.8,100
Iqaluit,63.75,-68.51,21.09,11.95,85,1014,6.93,90
Alto Araguaia,-17.31,-53.22,78.8,78.71,59,1011,8.23,36
Koslan,63.46,48.9,32.92,22.66,94,994,11.7,99
New Glasgow,45.58,-62.65,42.8,38.5,75,1030,2.24,30
Shingū,33.73,135.98,49.53,44.87,79,1017,5.53,0
Salalah,17.02,54.09,77.0,82.54,78,1017,3.36,0
Khasan,42.43,130.64,31.26,18.97,78,1020,13.91,37
Sfântu Gheorghe,45.87,25.78,41.67,37.29,68,1026,1.41,0
Guánica,17.97,-66.91,74.62,78.17,92,1010,9.24,100
Synya,65.37,58.04,27.55,19.02,98,985,7.63,100
Prince Rupert,54.32,-130.32,40.32,35.33,69,1026,2.24,90
Takoradze,4.88,-1.76,79.02,84.56,87,1014,8.34,73
Slave Lake,55.28,-114.77,23.0,11.98,79,1023,10.29,90
Slobodskoy,58.73,50.18,32.4,21.6,94,1000,12.53,99
Zarinsk,53.71,84.95,40.75,32.97,82,1007,8.5,100
Valverde del Camino,37.58,-6.75,62.01,61.66,86,1026,5.01,75
Lüderitz,-26.65,15.16,60.98,49.68,75,1020,21.74,0
Bowen,-20.02,148.23,71.6,70.97,83,1018,11.41,75
Carahue,-38.7,-73.17,64.4,59.11,63,1018,10.29,20
Coyhaique,-45.58,-72.07,73.4,67.78,33,1017,6.93,0
Safaga,26.73,33.94,73.27,71.87,49,1015,4.12,0
Siilinjärvi,63.08,27.67,32.0,22.93,91,1019,9.17,0
Dudinka,69.41,86.18,24.8,7.48,92,980,22.37,40
Javānrūd,34.8,46.52,49.55,45.45,69,1024,3.27,56
Hampton,37.03,-76.35,66.38,66.61,77,1029,4.7,20
Longyearbyen,78.22,15.64,26.6,16.54,79,999,9.17,75
Camocim,-2.9,-40.84,82.49,80.42,68,1011,17.98,3
Aswān,24.09,32.91,66.92,60.4,39,1016,8.03,0
Ponta Delgada,37.73,-25.67,57.2,54.55,76,1023,4.7,20
Port Blair,11.67,92.75,80.49,85.77,84,1008,9.22,92
Port Shepstone,-30.74,30.45,71.78,71.19,89,1017,13.18,99
Buta,2.79,24.73,70.86,77.36,95,1012,1.43,100
Novosil',52.97,37.04,43.05,34.88,91,1020,10.78,65
Bandarbeyla,9.49,50.81,77.52,77.09,82,1014,15.77,32
Yulara,-25.24,130.99,77.0,68.83,19,1013,8.05,11
Fuling,29.7,107.39,58.26,56.25,67,1026,2.51,0
Altagracia de Orituco,9.86,-66.38,76.55,85.23,91,1008,1.68,96
Valley City,46.92,-98.0,66.2,49.17,59,999,31.09,90
Labuhan,-6.88,112.21,78.66,81.07,78,1010,10.36,94
Tezu,27.92,96.17,65.17,61.14,42,1020,3.76,0
Gokul,27.45,77.72,63.93,58.84,27,1016,2.01,0
Port Macquarie,-31.43,152.92,65.44,65.79,64,1025,1.01,85
Swakopmund,-22.68,14.53,60.3,57.34,77,1020,6.93,35
Cabedelo,-6.98,-34.83,78.8,83.59,83,1014,8.05,20
Xinqing,48.23,129.5,7.02,-1.82,92,1020,4.94,0
Kasongo-Lunda,-6.47,16.82,71.58,78.3,93,1013,1.14,96
Peniche,39.36,-9.38,59.02,57.9,88,1019,5.01,0
Hirara,24.8,125.28,72.77,61.2,78,1019,30.33,99
Waipawa,-41.41,175.52,52.9,34.79,66,1016,28.86,98
Vestmannaeyjar,63.44,-20.27,43.93,25.9,79,1013,27.36,96
Jumla,29.27,82.18,42.19,36.09,58,1022,3.62,0
Kaseda-shirakame,31.42,130.32,46.18,43.59,93,1019,2.24,0
Bonga,7.28,36.23,61.05,62.42,88,1015,1.77,100
Mwense,-10.38,28.7,72.16,73.11,57,1011,1.68,14
Tignère,7.37,12.65,66.97,65.77,55,1014,2.42,16
Olafsvik,64.89,-23.71,41.47,26.47,82,1009,21.5,99
Kiruna,67.86,20.23,32.0,17.28,95,1006,19.46,53
Leningradskiy,69.38,178.42,18.7,12.2,96,1011,2.3,100
Kharp,66.8,65.81,22.62,15.91,96,983,3.33,100
Dalvik,65.97,-18.53,30.2,23.05,80,1015,4.7,0
Tomatlán,19.93,-105.25,85.59,87.48,59,1010,9.84,74
Praia,14.92,-23.51,80.6,76.57,61,1016,17.22,0
Tari,12.41,4.49,77.25,69.1,19,1014,8.08,41
Bānswāra,23.55,74.45,67.42,63.5,36,1016,2.86,0
Mahon,39.89,4.27,57.2,56.93,93,1022,3.36,94
Poconé,-16.26,-56.62,88.45,91.49,43,1007,2.55,41
Norfolk,42.17,-71.25,67.39,62.74,43,1026,5.82,1
Dossor,47.53,52.98,45.21,29.77,61,1018,21.23,65
Yabēlo,4.88,38.08,60.04,58.21,98,1015,8.75,100
Amuntai,-2.42,115.25,74.44,82.92,94,1010,0.92,97
Ust'-Kalmanka,52.12,83.31,42.28,33.82,80,1009,9.95,100
Lodja,-3.48,23.43,70.21,76.71,96,1012,1.14,100
Humberto de Campos,-2.6,-43.46,80.29,85.96,80,1010,6.82,0
Jalu,29.03,21.55,62.73,55.62,61,1019,12.33,56
Muros,42.78,-9.06,55.92,51.98,93,1016,9.17,75
Pontes e Lacerda,-15.23,-59.34,85.53,88.47,53,1008,5.3,51
Moose Factory,51.26,-80.61,36.54,31.57,93,1017,3.2,90
Caniço,32.63,-16.85,61.34,55.26,63,1023,10.29,20
Ābdānān,32.99,47.42,59.5,56.12,54,1021,3.09,85
Yanam,16.73,82.22,70.54,72.7,76,1013,3.78,0
Casas Grandes,30.37,-107.95,69.01,49.93,36,1007,30.27,0
Leshukonskoye,64.9,45.76,33.48,24.39,93,997,9.71,94
Saint-Joseph,-21.37,55.62,73.4,71.17,73,1020,12.75,0
Departamento de Maldonado,-34.67,-54.92,66.15,58.93,60,1020,13.87,20
Aklavik,68.22,-135.01,23.18,14.07,79,999,6.93,100
Vostok,46.49,135.88,16.74,8.58,98,1014,5.01,100
Grado,43.39,-6.07,59.43,58.08,87,1015,5.46,20
Jérémie,18.65,-74.12,80.94,89.78,78,1009,1.1,100
Gari,59.43,62.35,29.91,23.23,99,982,4.92,100
Bartica,6.4,-58.62,75.2,81.77,100,1011,6.93,90
Pilar,-9.6,-35.96,78.8,79.14,74,1015,12.75,75
Borogontsy,62.67,131.17,-20.06,-27.36,88,1023,0.72,53
Rosário do Sul,-30.26,-54.91,73.33,69.58,67,1014,13.62,100
Inhambane,-23.86,35.38,76.8,81.19,93,1013,10.18,3
Mossamedes,-15.2,12.15,69.57,70.02,73,1015,5.35,1
Sittwe,20.15,92.9,76.37,80.92,85,1012,6.85,0
Oudtshoorn,-33.59,22.2,55.4,50.67,93,1021,10.29,96
Riyadh,24.69,46.72,73.4,72.46,49,1020,3.36,0
Houma,29.6,-90.72,75.33,75.31,88,1016,14.99,90
West Wendover,40.74,-114.07,42.8,29.86,26,1002,12.75,1
Washougal,45.58,-122.35,43.05,36.91,65,1018,4.56,90
Lixouri,38.2,20.43,62.15,59.4,64,1022,4.94,0
Constitución,-35.33,-72.42,62.6,55.08,58,1016,12.41,46
Nueva Guinea,11.69,-84.46,79.25,81.64,85,1008,13.47,66
Sokone,13.88,-16.37,86.13,87.76,48,1012,5.79,0
Pangnirtung,66.15,-65.71,14.0,5.2,61,1014,4.7,90
Tevaitoa,-16.78,-151.5,79.39,78.67,78,1013,16.6,39
Shelburne,44.08,-80.2,66.81,61.43,43,1026,6.93,1
Lano,10.17,11.47,77.45,73.96,32,1013,4.23,0
Piranshahr,36.7,45.14,45.01,39.24,57,1025,3.58,70
Shitanjing,39.23,106.34,38.1,31.51,66,1026,4.34,0
Vila Franca do Campo,37.72,-25.43,57.2,54.55,76,1023,4.7,20
Isangel,-19.55,169.27,77.0,78.71,94,1013,15.48,90
Buenos Aires,-34.61,-58.38,71.6,66.76,73,1018,16.11,0
Nouadhibou,20.93,-17.03,71.6,65.98,64,1017,14.99,0
Ilebo,-4.32,20.58,71.94,79.16,95,1011,1.14,97
Loa Janan,-0.58,117.09,73.87,80.78,92,1009,2.55,81
Viedma,-40.81,-63.0,69.01,71.15,73,1018,1.99,68
Prijepolje,43.37,19.64,37.4,33.55,93,1025,1.48,0
Celestún,20.87,-90.4,79.81,81.03,76,1010,12.82,45
Creel,27.75,-107.63,58.86,43.7,50,1011,23.04,0
Pierre,44.37,-100.35,62.08,52.66,44,1001,12.75,40
Botwood,49.15,-55.35,33.01,25.45,70,1023,5.35,66
Rossland,49.08,-117.8,34.0,26.1,54,1011,5.01,91
Santa Cruz de la Sierra,-17.8,-63.17,92.52,90.63,34,1007,9.17,20
Vittoria,36.95,14.53,55.4,54.66,87,1023,2.24,3
Samarai,-10.62,150.67,79.61,80.91,85,1012,15.75,98
Williston,48.15,-103.62,32.0,25.88,92,994,4.0,100
Santa Cruz Cabrália,-16.28,-39.02,77.0,79.27,78,1016,9.17,0
Riberalta,-10.98,-66.1,90.59,94.66,42,1006,1.66,80
Margate,51.38,1.39,57.0,57.24,91,1008,1.99,100
Cody,44.53,-109.06,19.54,7.0,85,1005,12.75,90
Kargil,34.57,76.1,26.71,21.11,71,1028,0.85,23
Tabas,33.6,56.92,60.8,57.18,45,1022,2.24,99
Ergani,38.27,39.76,46.31,41.99,87,1025,4.7,20
Ca Mau,9.18,105.15,73.29,78.64,91,1008,4.52,99
Mehamn,71.04,27.85,34.21,21.97,86,1002,14.99,75
Quatre Cocos,-20.21,57.76,72.34,78.35,94,1021,3.36,75
Moussoro,13.64,16.49,78.35,69.55,22,1013,10.49,42
Nīlēshwar,12.25,75.1,77.0,85.55,94,1011,3.36,40
Abalak,58.13,68.59,30.43,21.42,99,984,9.19,100
Hamilton,39.18,-84.53,78.8,76.71,39,1025,4.7,1
Cândido Mendes,-1.45,-45.72,78.84,84.38,77,1011,4.61,35
Yerbogachën,61.28,108.01,28.96,20.53,98,1007,7.74,100
Severo-Kuril'sk,50.68,156.12,35.74,26.38,82,999,9.98,100
Bois-Colombes,48.92,2.27,55.78,54.52,87,1020,3.36,75
Aksakovo Municipality,43.25,27.82,51.06,48.11,81,1025,3.36,90
Atar,20.52,-13.05,88.39,79.45,13,1016,9.35,74
Hay River,60.82,-115.8,24.8,12.25,68,1019,12.75,0
Plettenberg Bay,-34.05,23.37,59.09,55.47,77,1021,7.52,97
Kumul,42.8,93.45,32.83,27.37,79,1024,2.17,0
Sol'-Iletsk,51.16,54.99,42.4,31.39,84,1008,14.92,100
Christchurch,-43.53,172.63,53.46,49.48,71,1020,4.7,25
Ginda,30.69,78.49,48.61,41.79,44,1021,4.72,0
Pocatello,42.87,-112.45,32.13,20.84,64,1004,11.41,75
Guerrero Negro,27.98,-114.06,68.2,59.14,48,1012,15.17,7
Arrondissement de Nevers,46.92,3.33,51.8,50.58,93,1021,2.24,0
Bay City,43.59,-83.89,71.58,67.98,52,1024,8.05,1
Thinadhoo,0.53,72.93,83.52,86.85,75,1009,12.19,93
Isiro,2.77,27.62,66.34,70.56,97,1013,2.28,100
Pacific Grove,36.62,-121.92,53.53,40.17,58,1010,19.46,75
Cravo Norte,6.3,-70.2,82.56,92.73,78,1008,0.31,76
Rodino,52.5,80.25,43.74,31.73,63,1008,14.97,100
Batagay-Alyta,67.8,130.41,-15.83,-23.76,80,1021,1.9,0
Mahébourg,-20.41,57.7,71.6,77.23,94,1021,3.36,75
Chengdu,30.67,104.07,62.83,64.67,93,1026,3.09,40
Richards Bay,-28.78,32.04,74.39,74.98,83,1014,11.5,91
Hoi An,15.88,108.33,78.8,77.25,74,1014,16.11,75
Dawson Creek,55.77,-120.24,26.6,16.7,63,1022,8.05,1
Hunchun,42.87,130.36,25.99,17.11,77,1021,6.85,3
Hirado,33.36,129.55,52.74,42.06,46,1021,12.75,0
Nuevo Progreso,23.17,-97.95,82.58,84.38,50,1014,4.0,70
Novoagansk,61.94,76.66,32.41,22.44,98,977,11.34,100
Ayorou,14.73,0.92,81.91,73.44,15,1015,8.12,0
Pandan,14.05,124.17,78.84,86.22,84,1008,3.83,99
Abadan,38.05,58.21,53.6,51.24,81,1032,3.36,90
Cookeville,36.16,-85.5,76.17,73.65,47,1024,6.93,20
Acaraú,-2.89,-40.12,81.68,81.3,74,1011,16.62,8
Carutapera,-1.2,-46.02,80.1,84.36,74,1011,6.93,26
Roald,62.58,6.13,43.7,40.35,100,1025,3.36,75
Adré,13.47,22.2,73.8,65.61,28,1013,10.13,23
Vila,42.03,-8.16,53.01,49.42,93,1017,7.0,55
Samarkand,39.65,66.96,46.4,41.67,100,1029,6.93,90
Cruzeiro do Sul,-29.51,-51.99,73.53,74.21,74,1014,7.96,49
Mansar,21.4,79.25,59.0,56.32,72,1017,4.9,0
Assiut,27.18,31.18,66.2,58.82,48,1017,11.41,0
Deputatsky,69.3,139.9,-15.59,-24.34,90,1023,3.42,83
Sobolevo,54.43,31.9,41.14,34.41,91,1024,7.58,20
Antri,26.06,78.21,63.5,58.3,29,1016,2.55,0
Severnyy,50.68,36.55,43.32,36.73,100,1021,8.95,75
Gallup,35.53,-108.74,48.74,34.2,43,1007,18.34,1
Mumford,5.26,-0.76,79.61,83.44,85,1014,11.25,44
